company,name,kms_driven,fuel_type,selling_price,year
Ford,Aspire,30000,Petrol,480000,2022
Hyundai,i20,15000,Petrol,375000,2018
Maruti,Swift,160000,Diesel,225000,2016
Tata,Tiago,32100,Petrol,400000,2022
Hyundai,i20,22000,Petrol,550000,2021
Mahindra,Scorpio,44000,Diesel,1050000,2021
Volkswagen,Polo,78000,Petrol,450000,2021
Mercedes-Benz,C-Class,74352,Petrol,775000,2017
Maruti,Wagon R,37000,Petrol,350000,2019
Honda,City,69000,Diesel,550000,2019
Kia,Seltos,12120,Petrol,1080000,2024
Maruti,Baleno,52000,Petrol,575000,2021
Toyota,Innova,120000,Diesel,950000,2021
Maruti,Alto,55000,Petrol,230000,2018
Hyundai,i20,160000,Diesel,270000,2016
Ford,Figo,40000,Petrol,130000,2016
Maruti,Swift Dzire,46000,Petrol,370000,2017
Maruti,Baleno,25000,Petrol,570000,2022
Volkswagen,Polo,90000,Diesel,365000,2018
Hyundai,i20,49566,Petrol,280000,2017
Hyundai,Verna,14000,Diesel,1250000,2023
Hyundai,i20,11000,Petrol,590000,2021
Maruti,Celerio,5000,Petrol,475000,2023
Ford,Ecosport,55000,Diesel,685000,2022
Hyundai,Verna,65000,Diesel,380000,2017
Renault,KWID,22000,Petrol,330000,2023
Maruti,Baleno,7671,Petrol,650000,2023
Maruti,Wagon R,66000,Petrol,325000,2021
Maruti,Swift Dzire,45156,Petrol,640000,2023
Hyundai,Venue,25000,Petrol,949000,2024
Hyundai,Verna,120000,Diesel,660000,2020
Maruti,Swift,28000,Petrol,435000,2019
Hyundai,i20,55000,Diesel,385000,2018
Hyundai,Verna,14000,Diesel,1250000,2024
Maruti,Wagon R,98780,Petrol,155000,2014
Maruti,Swift,58000,Diesel,415000,2020
Maruti,Alto,30000,Petrol,251000,2016
Mahindra,Scorpio,46400,Diesel,1150000,2021
Hyundai,i10,32111,Petrol,310000,2019
Datsun,GO,35000,Petrol,350000,2020
Mahindra,Scorpio,30000,Diesel,1125000,2022
BMW,5,63000,Diesel,2600000,2021
Datsun,GO,10000,Petrol,480000,2023
Maruti,Swift Dzire,25000,Diesel,850000,2022
Hyundai,Creta,102000,Diesel,1100000,2022
Maruti,Swift,35000,Petrol,575000,2023
Maruti,Swift Dzire,49948,Petrol,340000,2017
Ford,Ecosport,55000,Diesel,925000,2023
Hyundai,Grand,36000,Petrol,400000,2020
Honda,City,49625,Petrol,725000,2021
Maruti,Swift Dzire,35000,Diesel,600000,2019
Mahindra,Scorpio,95000,Diesel,550000,2018
Ford,Aspire,36000,Diesel,585000,2022
Maruti,Wagon R,50000,Petrol,411000,2024
Maruti,Swift Dzire,26500,Petrol,450000,2020
Honda,CR-V,80000,Petrol,1290000,2020
Volkswagen,Polo,46000,Petrol,455000,2020
Hyundai,Grand,9000,Petrol,710000,2024
Honda,City,53000,Petrol,770000,2021
Ford,Endeavour,11387,Diesel,2900000,2023
Honda,Amaze,50000,Diesel,720000,2023
Mahindra,KUV,52000,Diesel,375000,2021
Datsun,GO,35000,Petrol,400000,2020
Renault,Duster,48000,Diesel,600000,2020
Honda,Jazz,18000,Petrol,600000,2023
Maruti,Wagon R,57413,LPG,270000,2017
Hyundai,i20,30000,Petrol,500000,2020
Hyundai,Verna,55000,Diesel,650000,2020
Maruti,Swift,10000,Petrol,660000,2023
BMW,3,68000,Diesel,2090000,2021
Kia,Seltos,8000,Petrol,1275000,2025
Maruti,Swift,65000,Diesel,495000,2020
Hyundai,Grand,25000,Petrol,475000,2021
Maruti,Ciaz,70000,Petrol,530000,2020
Tata,Tiago,9500,Petrol,530000,2021
Hyundai,Verna,9100,Petrol,650000,2020
Honda,City,86000,Petrol,335000,2015
Audi,A4,78000,Diesel,1290000,2018
Ford,Figo,60000,Diesel,300000,2016
Maruti,Wagon R,7883,Petrol,550000,2024
Maruti,Swift Dzire,50205,Diesel,390000,2018
Mahindra,Bolero,220000,Diesel,260000,2013
Tata,Tigor,58000,Diesel,395000,2022
Mahindra,Scorpio,170000,Diesel,550000,2017
Maruti,Swift Dzire,15000,Petrol,650000,2023
Maruti,Swift,71245,Diesel,375000,2021
Kia,Seltos,7000,Petrol,1300000,2024
Maruti,Alto,20000,Petrol,360000,2023
Maruti,Celerio,8700,Petrol,505000,2025
Maruti,Alto,25000,Petrol,310000,2024
Hyundai,i20,42000,Petrol,545000,2020
Mahindra,Bolero,120000,Diesel,150000,2011
Maruti,Baleno,50000,Petrol,580000,2023
Maruti,Wagon R,58000,Petrol,250000,2016
Hyundai,Verna,36000,Petrol,650000,2022
Maruti,Ertiga,30000,Diesel,410000,2023
Ford,Ecosport,162828,Diesel,531000,2020
Ford,Ecosport,7500,Diesel,890000,2023
Tata,Safari,47227,Diesel,775000,2021
Maruti,Wagon R,52000,CNG,435000,2023
Ford,Figo,74000,Diesel,185000,2017
Mahindra,Bolero,47000,Diesel,440000,2016
Hyundai,i20,50000,Petrol,450000,2020
Maruti,Baleno,100000,Petrol,600000,2022
Maruti,Celerio,35000,Petrol,320000,2019
Hyundai,i20,50000,Diesel,700000,2021
Ford,Aspire,10000,Petrol,630000,2023
Maruti,Alto,10370,Petrol,320000,2021
Honda,City,62000,Petrol,465000,2018
Hyundai,i20,40000,Petrol,550000,2021
Maruti,Swift,60000,Petrol,445000,2022
Tata,Safari,67231,Diesel,705000,2018
Maruti,Wagon R,64000,CNG,270000,2018
Honda,City,63000,Diesel,475000,2019
Toyota,Fortuner,80000,Diesel,1755000,2020
Honda,City,55000,Petrol,350000,2016
Hyundai,i20,11000,Petrol,575000,2021
Renault,KWID,17000,Petrol,360000,2022
Maruti,Alto,25000,Petrol,275000,2022
Datsun,GO,33350,Petrol,320000,2021
Hyundai,Grand,62000,Petrol,370000,2020
Maruti,Swift Dzire,59000,Petrol,275000,2014
Honda,City,86113,Petrol,550000,2019
Maruti,Swift Dzire,10000,Diesel,750000,2023
Maruti,Wagon R,92537,Petrol,272000,2020
Maruti,Ciaz,27645,Diesel,951000,2024
Maruti,Alto,46242,Petrol,280000,2018
Honda,City,70000,Petrol,545000,2018
Renault,KWID,6000,Petrol,450000,2025
Hyundai,i20,64000,Petrol,480000,2022
Mahindra,Scorpio,93000,Diesel,1060000,2022
Maruti,Alto,26200,Petrol,235000,2018
Maruti,Baleno,25000,Petrol,590000,2022
Toyota,Fortuner,50000,Diesel,2950000,2023
Hyundai,Santro,80000,Petrol,110000,2013
Mahindra,Scorpio,110000,Diesel,280000,2012
Audi,A4,55000,Petrol,1851000,2021
Honda,City,25000,Petrol,750000,2023
Hyundai,Grand,36000,Petrol,400000,2020
Maruti,Swift Dzire,40000,Diesel,530000,2020
Mahindra,Thar,25000,Diesel,870000,2023
Renault,KWID,30038,Petrol,295000,2023
Tata,Tiago,53000,Diesel,370000,2022
Maruti,Swift,5000,Petrol,530000,2023
Renault,KWID,35000,Petrol,350000,2022
Ford,Ecosport,62000,Diesel,470000,2018
Ford,Aspire,42000,Diesel,390000,2020
Mahindra,Scorpio,80000,Diesel,920000,2020
Mahindra,XUV500,60000,Diesel,550000,2018
Hyundai,Verna,45000,Diesel,635000,2019
Mahindra,XUV500,50000,Diesel,1250000,2022
Maruti,Alto,12000,Petrol,300000,2023
Honda,City,12000,Petrol,960000,2023
Maruti,Vitara,15000,Diesel,750000,2023
Volkswagen,Polo,63000,Petrol,249000,2016
Tata,Hexa,30000,Diesel,1400000,2023
Ford,Figo,160800,Diesel,250000,2016
Hyundai,Verna,120000,Diesel,610000,2019
Ford,Ecosport,78247,Diesel,545000,2021
Hyundai,Verna,113000,Diesel,480000,2018
Hyundai,i20,52000,Petrol,395000,2019
Toyota,Innova,109000,Diesel,495000,2017
Hyundai,Grand,90000,Petrol,470000,2022
Volkswagen,Polo,98000,Diesel,200000,2016
Hyundai,i20,20000,Diesel,699000,2021
Maruti,Wagon R,21717,Petrol,340000,2019
Renault,Duster,40000,Diesel,500000,2019
Honda,City,50000,Petrol,1050000,2022
Renault,Duster,90000,Diesel,600000,2021
Maruti,Swift,27876,Petrol,491000,2022
Land Rover,Rover,56000,Petrol,2890000,2021
Hyundai,i10,57215,Petrol,160000,2013
Hyundai,Venue,5400,Petrol,985000,2024
Maruti,Swift Dzire,60000,Diesel,500000,2019
Tata,Tiago,24800,Petrol,335000,2022
Maruti,Alto,70000,Petrol,85000,2010
Honda,Jazz,20000,Petrol,740000,2023
Maruti,Swift,34553,Petrol,375000,2018
Maruti,Vitara,40000,Diesel,810000,2023
Volkswagen,Polo,350000,Petrol,173000,2015
Maruti,Vitara,50000,Diesel,700000,2022
Mahindra,KUV,70000,Diesel,310000,2021
Mahindra,Scorpio,120000,Diesel,850000,2022
Hyundai,i20,90000,Diesel,285000,2018
Maruti,Swift Dzire,120000,Diesel,450000,2019
Hyundai,Creta,80000,Diesel,1100000,2022
Mahindra,Scorpio,30000,Diesel,1080000,2022
Honda,City,66100,Diesel,530000,2019
Maruti,Swift Dzire,50000,Diesel,680000,2022
Mahindra,Scorpio,42000,Diesel,1025000,2022
Hyundai,i20,55000,Petrol,650000,2022
Hyundai,i10,110699,Petrol,194000,2017
Maruti,Baleno,5000,Petrol,686000,2024
Maruti,Alto,50000,Petrol,200000,2021
Maruti,Swift Dzire,44000,Petrol,250000,2015
Maruti,Vitara,90000,Diesel,730000,2023
Hyundai,Verna,55000,Petrol,650000,2021
Maruti,Vitara,45000,Diesel,790000,2022
Maruti,Baleno,30000,Petrol,620000,2022
Hyundai,Verna,50000,Petrol,510000,2018
Maruti,Eeco,20000,Petrol,375000,2018
Maruti,Swift Dzire,19843,Petrol,620000,2022
Ford,Endeavour,30000,Diesel,950000,2016
Toyota,Innova,52300,Diesel,1450000,2022
Honda,City,40000,Petrol,845000,2021
Maruti,Swift Dzire,61500,Diesel,390000,2019
Honda,Amaze,59000,Petrol,395000,2020
Hyundai,Grand,40000,Petrol,450000,2023
Audi,A6,60000,Diesel,1700000,2018
Hyundai,Grand,61000,Petrol,325000,2018
Mahindra,KUV,70000,Diesel,350000,2021
Mahindra,XUV500,63000,Diesel,650000,2018
Mercedes-Benz,E-Class,58000,Petrol,1250000,2017
Maruti,Swift Dzire,22000,Diesel,750000,2022
Honda,City,57977,Petrol,299000,2015
Land Rover,Rover,13000,Petrol,7000000,2023
Mini,Cooper,67000,Petrol,1325000,2017
Maruti,Ertiga,48242,Diesel,524000,2019
Ford,Figo,68000,Diesel,169000,2017
Maruti,Ertiga,40000,Diesel,500000,2019
Audi,Q7,98000,Diesel,2000000,2017
Maruti,Swift Dzire,113450,Diesel,380000,2018
Maruti,Wagon R,80000,Petrol,400000,2023
Hyundai,Santro,1000,Petrol,565000,2025
Maruti,Wagon R,20292,Petrol,335000,2020
Mahindra,Scorpio,67900,Diesel,300000,2015
Mahindra,Scorpio,40000,Diesel,1051000,2020
Hyundai,Grand,60000,Diesel,510000,2022
Renault,KWID,25000,Petrol,370000,2023
Maruti,Wagon R,70000,Petrol,200000,2011
Maruti,Baleno,21000,Diesel,625000,2023
Mahindra,Scorpio,39000,Diesel,1290000,2023
Hyundai,Creta,30000,Petrol,890000,2022
Hyundai,Verna,61000,Diesel,420000,2017
Maruti,Swift,5743,Petrol,500000,2022
Hyundai,Grand,24200,Petrol,600000,2023
Maruti,Baleno,57000,Diesel,590000,2022
Hyundai,i10,58000,Petrol,190000,2016
Datsun,GO,15000,Petrol,500000,2022
Maruti,Celerio,10000,Petrol,450000,2022
Mahindra,XUV500,100000,Diesel,650000,2020
BMW,Z4,2000,Petrol,8250000,2025
Maruti,Wagon R,10000,Petrol,500000,2025
Maruti,Alto,43000,Petrol,140000,2014
Honda,Amaze,64000,CNG,349000,2018
Maruti,Wagon R,30000,Petrol,325000,2019
Honda,City,63000,Petrol,435000,2019
Maruti,Celerio,28000,CNG,455000,2023
Land Rover,Rover,25000,Petrol,6200000,2023
Honda,City,32226,Petrol,755000,2022
Maruti,Alto,65000,Petrol,245000,2019
Kia,Seltos,14000,Diesel,1350000,2024
Renault,KWID,15000,Petrol,310000,2023
BMW,6,30000,Petrol,5500000,2023
Maruti,Swift Dzire,32000,Diesel,675000,2023
Maruti,Wagon R,30000,Petrol,500000,2024
Hyundai,i10,25000,Petrol,300000,2015
Mahindra,Scorpio,35000,Diesel,1450000,2021
Mahindra,Scorpio,140000,Diesel,530000,2018
Ford,Ecosport,65597,Diesel,575000,2019
Hyundai,i20,35000,Petrol,550000,2022
Maruti,Ciaz,160000,Diesel,500000,2019
Maruti,Baleno,7124,Petrol,643000,2025
Ford,Ecosport,15000,Petrol,1000000,2024
Hyundai,Grand,34000,Petrol,550000,2021
Volkswagen,Vento,280000,Diesel,300000,2016
Tata,Tigor,40000,Petrol,470000,2023
Honda,City,77000,Diesel,525000,2019
Datsun,GO,15000,Petrol,469000,2022
Maruti,Alto,60000,Petrol,210000,2017
Maruti,Alto,120000,Petrol,200000,2018
Renault,KWID,2500,Petrol,400000,2024
Jaguar,XF,50000,Diesel,2150000,2018
Maruti,Celerio,46500,Petrol,340000,2021
Maruti,Alto,5000,Petrol,95000,2010
Maruti,Swift,68000,Diesel,381000,2017
Mercedes-Benz,C-Class,45000,Diesel,775000,2016
Maruti,Swift Dzire,20000,Diesel,700000,2022
Maruti,Ciaz,106000,Diesel,675000,2022
Honda,City,28000,Petrol,670000,2020
Mahindra,XUV500,50000,Diesel,1050000,2023
BMW,X5,19000,Diesel,7900000,2024
Honda,City,55000,Petrol,360000,2016
Ford,Figo,53000,Diesel,400000,2022
Hyundai,Verna,89000,Diesel,470000,2019
Maruti,Alto,22000,Petrol,304000,2023
Honda,City,69000,Diesel,490000,2019
Mahindra,Scorpio,155000,Diesel,864000,2021
Mahindra,XUV500,85000,Diesel,480000,2018
Maruti,Wagon R,3600,Petrol,575000,2024
Maruti,Baleno,5000,Petrol,686000,2024
Toyota,Innova,143000,Diesel,780000,2020
Audi,A6,24000,Diesel,3490000,2023
MG,Hector,28000,Diesel,1699000,2024
Maruti,Swift,44000,Diesel,800000,2024
Maruti,Baleno,10000,Petrol,680000,2023
Toyota,Fortuner,200000,Diesel,1200000,2015
Toyota,Innova,187031,Diesel,525000,2017
Ford,Ecosport,22346,Petrol,955000,2024
Hyundai,i20,120000,Diesel,350000,2017
Maruti,Vitara,1000,Petrol,800000,2025
Maruti,Alto,56700,Petrol,75000,2010
Mahindra,XUV500,170000,Diesel,825000,2020
Mahindra,Marazzo,60000,Diesel,1476000,2024
Honda,Jazz,40000,Petrol,670000,2023
Maruti,Alto,28000,Petrol,180000,2017
Hyundai,Grand,35000,Petrol,490000,2022
Maruti,Baleno,20000,Petrol,550000,2022
Hyundai,i10,40000,Petrol,350000,2019
Toyota,Innova,35000,Diesel,1500000,2024
Ford,Figo,74000,Diesel,190000,2017
Renault,Duster,46500,Diesel,460000,2019
Maruti,Swift,8000,Petrol,650000,2024
Maruti,Ciaz,120000,Diesel,700000,2021
Maruti,Swift,34000,Petrol,455000,2022
Maruti,Swift,54000,Petrol,365000,2019
Maruti,Swift Dzire,11275,Petrol,470000,2019
Toyota,Fortuner,35000,Diesel,2950000,2023
Maruti,Swift,48000,Diesel,400000,2017
Renault,Duster,68000,Diesel,550000,2020
Honda,Civic,23000,Petrol,1519000,2024
Maruti,Swift Dzire,31500,Diesel,740000,2023
Honda,Amaze,73000,Diesel,325000,2018
Hyundai,Grand,10000,Petrol,600000,2025
Honda,Amaze,208000,Diesel,300000,2018
Hyundai,i10,30000,Petrol,300000,2015
Maruti,Wagon R,83000,CNG,345000,2021
Mahindra,Scorpio,60000,Diesel,900000,2023
Mahindra,XUV500,83000,Diesel,1025000,2021
Isuzu,D-Max,58132,Diesel,1450000,2022
Maruti,Swift,34000,Petrol,400000,2020
Honda,Amaze,45120,Diesel,367000,2019
Hyundai,Grand,15000,Petrol,535000,2024
Maruti,Ertiga,15000,Petrol,805000,2024
MG,Hector,1000,Petrol,1488000,2025
Hyundai,i10,64000,Petrol,250000,2017
Mercedes-Benz,E-Class,98000,Diesel,700000,2016
Maruti,Vitara,65000,Diesel,675000,2021
Maruti,Swift,84000,Diesel,425000,2020
Maruti,Alto,33000,Petrol,260000,2020
Honda,City,55670,Petrol,700000,2021
Maruti,Baleno,50000,Diesel,560000,2022
Hyundai,Verna,148000,Diesel,155000,2011
Porsche,Cayenne,47000,Diesel,5975000,2021
Maruti,Ertiga,18000,Petrol,800000,2024
BMW,3,52420,Diesel,750000,2016
Hyundai,Grand,10000,Petrol,350000,2020
Toyota,Innova,40000,Diesel,1380000,2021
Mahindra,Scorpio,50000,Diesel,1000000,2020
Maruti,Ertiga,50000,Petrol,700000,2023
Maruti,Swift Dzire,76963,Petrol,230000,2014
BMW,5,52890,Diesel,2800000,2021
Maruti,Alto,45000,CNG,350000,2021
Maruti,Baleno,25000,Diesel,825000,2023
Renault,KWID,10103,Petrol,325000,2023
BMW,X1,24000,Diesel,1675000,2019
Mahindra,XUV500,47240,Diesel,800000,2019
Maruti,Celerio,30000,Petrol,400000,2024
Toyota,Innova,58000,Diesel,1750000,2023
Audi,A4,65000,Diesel,1200000,2018
Hyundai,i20,35213,Diesel,535000,2020
Hyundai,Grand,35000,Petrol,356000,2020
Mahindra,XUV500,92000,Diesel,550000,2017
Maruti,Eeco,34500,CNG,360000,2023
Maruti,Ertiga,50000,Diesel,700000,2022
Hyundai,Grand,30000,Petrol,390000,2021
Toyota,Fortuner,51000,Diesel,1245000,2017
Mahindra,XUV500,60000,Diesel,1150000,2022
Maruti,Wagon R,83000,Petrol,180000,2016
Skoda,Rapid,70000,Petrol,425000,2019
Ford,Freestyle,50000,Petrol,650000,2024
Maruti,Swift,60000,Diesel,400000,2017
Honda,City,51000,Petrol,275000,2014
Maruti,Alto,40000,Petrol,170000,2016
Skoda,Superb,100000,Petrol,235000,2015
Mercedes-Benz,C-Class,160000,Diesel,700000,2016
Maruti,Alto,70000,Petrol,250000,2019
Maruti,Swift,70000,Petrol,350000,2018
Hyundai,i20,50000,Petrol,480000,2021
Maruti,Swift Dzire,30000,Petrol,690000,2022
Maruti,Ciaz,60000,Diesel,670000,2020
Maruti,Alto,50000,Petrol,250000,2016
Mahindra,Scorpio,42000,Diesel,935000,2022
Hyundai,Verna,15000,Petrol,1030000,2024
Maruti,Wagon R,33650,Petrol,110000,2010
Hyundai,i20,35000,Petrol,470000,2020
Maruti,Swift,30000,Petrol,370000,2020
Maruti,Celerio,100000,Petrol,450000,2023
Maruti,Wagon R,58000,CNG,275000,2021
Maruti,Swift Dzire,4000,Petrol,731000,2024
Maruti,Wagon R,60000,Petrol,380000,2021
Tata,Nexon,60000,Diesel,900000,2023
Honda,Amaze,34000,Petrol,500000,2021
Datsun,GO,42000,Petrol,330000,2022
Tata,Hexa,60000,Diesel,1400000,2023
Hyundai,Verna,80000,Diesel,540000,2018
Mahindra,Bolero,120000,Diesel,375000,2013
Toyota,Fortuner,50000,Petrol,2600000,2021
Ford,Ecosport,35200,Petrol,725000,2021
Hyundai,i20,3700,Petrol,765000,2025
Maruti,Wagon R,25000,Petrol,380000,2021
Toyota,Fortuner,64000,Diesel,2625000,2022
Mahindra,XUV500,50000,Diesel,621000,2018
Maruti,Swift Dzire,15000,Petrol,600000,2024
Mahindra,XUV300,30000,Petrol,1130000,2024
Maruti,Swift Dzire,35000,Petrol,670000,2025
Ford,Endeavour,62876,Diesel,2875000,2022
Honda,Amaze,70000,Diesel,350000,2020
Maruti,Swift Dzire,84003,Diesel,530000,2020
Mahindra,Thar,55000,Diesel,850000,2022
Maruti,Alto,42000,CNG,260000,2021
Maruti,Alto,31000,Petrol,230000,2018
Ford,Ecosport,80000,Diesel,475000,2018
Tata,Nexon,6000,Petrol,750000,2024
Land Rover,Rover,12000,Diesel,4000000,2024
Skoda,Superb,65000,Diesel,499000,2018
Honda,Jazz,30000,Petrol,525000,2022
Hyundai,i20,10000,Petrol,535000,2019
Maruti,Dzire VXI,62150,Petrol,485000,2021
Mahindra,XUV500,47300,Diesel,745000,2020
Ford,Aspire,63000,Diesel,475000,2020
Hyundai,Grand,80000,Diesel,300000,2019
Volvo,S90,20400,Diesel,3650000,2021
Maruti,Alto,71000,Petrol,299000,2021
Maruti,Ertiga,52000,Diesel,695000,2022
Hyundai,i20,70000,Petrol,400000,2018
Hyundai,Grand,20000,Petrol,650000,2025
Hyundai,Grand,70000,Diesel,455000,2020
Maruti,Wagon R,100000,Petrol,150000,2013
Honda,Amaze,50000,Petrol,550000,2023
Hyundai,i20,67000,Diesel,500000,2020
Hyundai,Verna,70000,Diesel,365000,2018
Honda,Amaze,21100,Petrol,775000,2024
Hyundai,Grand,50000,Petrol,310000,2020
Hyundai,Venue,27594,Petrol,995000,2024
Hyundai,i10,70000,Petrol,190000,2017
Toyota,Innova,37000,Diesel,1575000,2021
Honda,WR-V,25000,Petrol,906000,2024
Ford,Ecosport,35000,Diesel,785000,2022
Maruti,Alto,11266,Petrol,235000,2016
Maruti,XL6,12005,Petrol,1200000,2024
Mahindra,Bolero,80000,Diesel,470000,2018
Honda,City,119000,Petrol,400000,2016
Kia,Seltos,3500,Petrol,1490000,2025
Maruti,Baleno,11000,Petrol,535000,2024
Skoda,Rapid,47612,Diesel,590000,2021
Renault,KWID,41000,Petrol,235000,2021
Hyundai,Creta,21000,Petrol,1250000,2024
Maruti,Wagon R,120000,Petrol,300000,2020
BMW,X1,22450,Diesel,3011000,2024
Maruti,Swift,10000,Petrol,615000,2025
Renault,KWID,50000,Petrol,250000,2021
Mahindra,XUV500,42000,Diesel,925000,2020
Maruti,Swift Dzire,14000,Diesel,725000,2024
Renault,KWID,10000,Petrol,350000,2023
Maruti,Wagon R,70000,Petrol,360000,2022
Honda,City,70000,Diesel,700000,2020
Mahindra,XUV500,50000,Diesel,1300000,2023
Volkswagen,Polo,64471,Petrol,285000,2016
Maruti,Wagon R,50000,Petrol,62000,2009
Maruti,Ignis,20000,Petrol,550000,2023
Honda,Amaze,33869,Petrol,527000,2022
Mahindra,Bolero,63497,Diesel,396000,2017
Maruti,Swift Dzire,70000,Petrol,384000,2019
Hyundai,i10,67000,Petrol,210000,2014
Maruti,Swift,50000,Diesel,500000,2020
Datsun,RediGO,20000,Petrol,210000,2023
Hyundai,Verna,57000,Petrol,425000,2017
Mahindra,Bolero,30000,Diesel,425000,2016
Maruti,Swift Dzire,80000,Diesel,495000,2023
Maruti,Alto,50000,Petrol,220000,2021
Tata,Safari,190000,Diesel,218000,2016
Mahindra,Bolero,60000,Diesel,750000,2023
Maruti,Ciaz,60000,Petrol,715000,2022
Audi,A6,21000,Diesel,1800000,2019
Maruti,Alto,5000,Petrol,350000,2025
Renault,KWID,25000,Petrol,300000,2024
Maruti,Alto,100000,Petrol,168000,2015
Land Rover,Rover,175000,Diesel,2500000,2017
Mercedes-Benz,E-Class,86500,Diesel,1400000,2017
Maruti,Swift Dzire,120000,Diesel,350000,2017
Hyundai,Verna,76300,Diesel,480000,2018
Renault,KWID,10000,Petrol,400000,2024
Hyundai,Grand,36000,Petrol,495000,2024
Mahindra,KUV,26000,Petrol,420000,2021
Maruti,Swift Dzire,100000,Diesel,531000,2023
Ford,Ecosport,4000,Petrol,800000,2024
Maruti,Swift Dzire,86000,Diesel,550000,2020
Volkswagen,Vento,81000,Diesel,465000,2017
Maruti,Alto,41321,Petrol,185000,2017
Mahindra,Bolero,46000,Diesel,340000,2016
Honda,City,75000,Petrol,340000,2014
Maruti,Wagon R,113000,Petrol,135000,2014
Hyundai,Verna,15000,Diesel,1225000,2023
Honda,Amaze,16942,Petrol,439000,2020
Honda,Jazz,29484,Petrol,465000,2021
Maruti,Swift Dzire,84405,Diesel,530000,2020
Maruti,Swift Dzire,30000,Petrol,650000,2022
Maruti,Swift,14838,Petrol,525000,2022
Honda,City,31318,Petrol,885000,2023
Maruti,Wagon R,63000,Petrol,120000,2012
Toyota,Innova,120000,Diesel,860000,2017
Maruti,Vitara,50000,Diesel,810000,2021
Maruti,Swift Dzire,74600,Diesel,410000,2017
Tata,Safari,80000,Diesel,175000,2014
Maruti,Swift Dzire,66000,Petrol,400000,2020
Honda,City,31543,Petrol,875000,2023
Toyota,Innova,80000,Diesel,1350000,2023
Maruti,Swift,60000,Diesel,450000,2019
Honda,City,50000,Diesel,700000,2020
Audi,Q7,28000,Diesel,2650000,2018
Maruti,Swift Dzire,60000,Petrol,350000,2017
